,Order Date,Sales,Category,Sub-Category
2437,2014-11-18,145.98,Furniture,Tables
9637,2014-11-18,730.2,Furniture,Tables
7301,2014-11-18,2.892,Office Supplies,Binders
7300,2014-11-18,424.116,Furniture,Bookcases
7298,2014-11-18,292.1,Furniture,Tables
9284,2014-11-18,392.94,Furniture,Chairs
9636,2014-11-18,137.54,Furniture,Furnishings
5395,2014-11-18,21.98,Office Supplies,Paper
4908,2014-11-18,9.588,Technology,Phones
4907,2014-11-18,11.808,Office Supplies,Binders
7299,2014-11-18,8.544,Furniture,Furnishings
7302,2014-11-18,381.72,Office Supplies,Storage
3303,2014-11-18,1.944,Office Supplies,Binders
2438,2014-11-18,35.808,Office Supplies,Paper
9648,2014-11-19,281.97,Technology,Phones
182,2014-11-19,503.96,Technology,Phones
5394,2014-11-19,1025.88,Furniture,Bookcases
9735,2014-11-19,5.88,Office Supplies,Paper
8972,2014-11-19,47.496,Technology,Accessories
5391,2014-11-19,22.5,Office Supplies,Labels
184,2014-11-19,29.0,Technology,Accessories
5393,2014-11-19,213.08,Office Supplies,Binders
183,2014-11-19,149.95,Technology,Phones
9647,2014-11-19,221.16,Office Supplies,Storage
7867,2014-11-19,166.44,Office Supplies,Paper
2492,2014-11-19,4548.81,Technology,Phones
5392,2014-11-19,9.96,Office Supplies,Labels
7550,2014-11-20,34.74,Office Supplies,Envelopes
7553,2014-11-20,25.92,Office Supplies,Paper
7552,2014-11-20,12.96,Office Supplies,Binders
7551,2014-11-20,833.94,Technology,Phones
3400,2014-11-21,193.95,Office Supplies,Storage
4498,2014-11-21,12.96,Office Supplies,Paper
3401,2014-11-21,5.46,Office Supplies,Art
3398,2014-11-21,36.99,Technology,Phones
7739,2014-11-21,6.58,Office Supplies,Paper
5342,2014-11-21,1.632,Office Supplies,Envelopes
5343,2014-11-21,267.96,Technology,Phones
7740,2014-11-21,94.99,Technology,Accessories
3399,2014-11-21,629.1,Office Supplies,Paper
3894,2014-11-22,9.98,Office Supplies,Binders
2576,2014-11-22,11.36,Office Supplies,Envelopes
2575,2014-11-22,319.9,Office Supplies,Binders
2574,2014-11-22,16.23,Office Supplies,Envelopes
2577,2014-11-22,675.12,Office Supplies,Appliances
3393,2014-11-22,6.928,Office Supplies,Binders
6805,2014-11-22,9.96,Office Supplies,Paper
3970,2014-11-22,53.82,Office Supplies,Paper
1572,2014-11-23,29.99,Technology,Accessories
9627,2014-11-23,14.67,Office Supplies,Binders
3708,2014-11-23,34.176,Office Supplies,Appliances
1573,2014-11-23,381.44,Furniture,Chairs
1571,2014-11-23,21.84,Office Supplies,Envelopes
7100,2014-11-23,23.472,Office Supplies,Envelopes
4808,2014-11-23,62.808,Office Supplies,Envelopes
3707,2014-11-23,6.368,Furniture,Furnishings
2083,2014-11-23,23.68,Office Supplies,Labels
3709,2014-11-23,5.544,Technology,Accessories
1570,2014-11-23,603.92,Furniture,Chairs
7265,2014-11-23,155.372,Furniture,Chairs
6316,2014-11-24,144.12,Office Supplies,Paper
6315,2014-11-24,196.62,Office Supplies,Labels
7142,2014-11-24,111.15,Furniture,Furnishings
1010,2014-11-24,151.72,Furniture,Furnishings
9921,2014-11-24,5.742,Office Supplies,Binders
2151,2014-11-24,111.79,Technology,Accessories
6317,2014-11-24,15.96,Office Supplies,Paper
6314,2014-11-24,151.92,Office Supplies,Art
3833,2014-11-24,1049.97,Technology,Phones
2366,2014-11-24,120.712,Furniture,Chairs
4057,2014-11-24,646.2,Office Supplies,Storage
5016,2014-11-24,1502.376,Technology,Phones
1187,2014-11-24,197.58,Office Supplies,Storage
1186,2014-11-24,25.92,Office Supplies,Paper
388,2014-11-24,2.624,Office Supplies,Art
5015,2014-11-24,35.168,Furniture,Furnishings
1185,2014-11-24,485.88,Office Supplies,Storage
1184,2014-11-24,12.096,Office Supplies,Binders
3834,2014-11-24,611.058,Furniture,Chairs
3989,2014-11-25,52.96,Furniture,Furnishings
2610,2014-11-25,5.904,Office Supplies,Labels
1985,2014-11-25,26.76,Office Supplies,Paper
2609,2014-11-25,1218.735,Furniture,Tables
6361,2014-11-25,51.016,Office Supplies,Art
7622,2014-11-25,7.44,Office Supplies,Art
1983,2014-11-25,320.88,Office Supplies,Appliances
2607,2014-11-25,24.672,Technology,Accessories
2611,2014-11-25,15.696,Office Supplies,Paper
4727,2014-11-25,275.952,Furniture,Bookcases
2608,2014-11-25,2.52,Office Supplies,Labels
7621,2014-11-25,725.344,Furniture,Chairs
2612,2014-11-25,6.096,Furniture,Furnishings
7620,2014-11-25,539.92,Technology,Phones
1984,2014-11-25,23.88,Furniture,Furnishings
4726,2014-11-25,1117.92,Office Supplies,Storage
5228,2014-11-26,81.98,Office Supplies,Paper
1637,2014-11-26,438.336,Technology,Phones
8600,2014-11-26,40.54,Office Supplies,Appliances
8599,2014-11-26,14.94,Office Supplies,Paper
8601,2014-11-26,7.312,Office Supplies,Binders
8598,2014-11-26,4.32,Office Supplies,Binders
5819,2014-11-26,11.52,Office Supplies,Labels
78,2014-11-26,19.3,Furniture,Furnishings
5818,2014-11-26,93.15,Office Supplies,Labels
1636,2014-11-26,669.08,Office Supplies,Storage
5817,2014-11-26,17.088,Office Supplies,Binders
5816,2014-11-26,12.912,Office Supplies,Binders
5815,2014-11-26,279.96,Technology,Phones
1635,2014-11-26,15.552,Office Supplies,Paper
1485,2014-11-27,3.76,Office Supplies,Fasteners
9427,2014-11-27,199.9,Furniture,Furnishings
5195,2014-11-28,45.66,Office Supplies,Binders
5549,2014-11-28,139.93,Technology,Accessories
9676,2014-11-28,64.02,Office Supplies,Envelopes
5494,2014-11-28,411.332,Furniture,Bookcases
3951,2014-11-28,17.248,Office Supplies,Binders
5548,2014-11-28,43.68,Office Supplies,Appliances
5192,2014-11-28,397.6,Furniture,Furnishings
5194,2014-11-28,13.12,Office Supplies,Art
5193,2014-11-28,85.96,Office Supplies,Paper
5493,2014-11-28,41.4,Office Supplies,Labels
2197,2014-11-28,14.67,Office Supplies,Art
5492,2014-11-28,7.36,Office Supplies,Supplies
8572,2014-11-28,998.85,Technology,Machines
7785,2014-11-29,25.06,Office Supplies,Labels
4415,2014-11-29,575.92,Technology,Phones
1642,2014-11-29,12.624,Office Supplies,Fasteners
4416,2014-11-29,30.4,Office Supplies,Fasteners
1489,2014-11-29,5.04,Office Supplies,Labels
4215,2014-11-30,62.28,Office Supplies,Envelopes
9194,2014-11-30,47.992,Office Supplies,Supplies
7615,2014-11-30,6.642,Office Supplies,Binders
9195,2014-11-30,102.24,Technology,Accessories
456,2014-12-02,129.568,Furniture,Chairs
2795,2014-12-04,18.088,Office Supplies,Binders
9849,2014-12-04,39.68,Office Supplies,Art
2796,2014-12-04,308.499,Furniture,Bookcases
2793,2014-12-04,1075.088,Technology,Phones
9097,2014-12-04,32.4,Office Supplies,Paper
2794,2014-12-04,438.368,Technology,Phones
2746,2014-12-05,700.056,Furniture,Tables
1657,2014-12-05,34.79,Furniture,Furnishings
8314,2014-12-07,3.488,Office Supplies,Fasteners
8313,2014-12-07,512.358,Furniture,Chairs
7399,2014-12-07,23.84,Technology,Accessories
8316,2014-12-07,16.032,Office Supplies,Paper
2981,2014-12-07,123.136,Furniture,Chairs
1221,2014-12-07,255.936,Technology,Phones
337,2014-12-07,7.712,Office Supplies,Binders
2982,2014-12-07,11.264,Office Supplies,Binders
338,2014-12-07,698.352,Furniture,Tables
7398,2014-12-07,35.856,Office Supplies,Paper
8315,2014-12-07,22.288,Office Supplies,Art
1220,2014-12-07,249.75,Office Supplies,Storage
6768,2014-12-08,196.21,Office Supplies,Binders
8291,2014-12-08,2.952,Office Supplies,Labels
8287,2014-12-08,47.96,Office Supplies,Art
8290,2014-12-08,5.552,Office Supplies,Supplies
8288,2014-12-08,158.928,Technology,Accessories
8289,2014-12-08,211.248,Office Supplies,Appliances
8286,2014-12-08,31.104,Office Supplies,Paper
8244,2014-12-08,85.44,Furniture,Furnishings
9881,2014-12-08,14.04,Office Supplies,Binders
9882,2014-12-08,272.61,Technology,Accessories
8243,2014-12-08,806.336,Technology,Phones
9425,2014-12-09,3785.292,Furniture,Chairs
3160,2014-12-09,5.18,Office Supplies,Binders
5450,2014-12-09,331.96,Office Supplies,Binders
5448,2014-12-09,357.93,Office Supplies,Supplies
5449,2014-12-09,57.4,Technology,Accessories
706,2014-12-09,15.216,Technology,Accessories
5451,2014-12-09,40.56,Furniture,Furnishings
704,2014-12-09,10.368,Office Supplies,Paper
705,2014-12-09,166.84,Office Supplies,Appliances
3284,2014-12-09,63.924,Office Supplies,Binders
427,2014-12-09,69.99,Technology,Machines
9439,2014-12-10,22.24,Office Supplies,Supplies
81,2014-12-10,14.9,Office Supplies,Art
82,2014-12-10,21.39,Office Supplies,Storage
5554,2014-12-11,67.9932,Furniture,Bookcases
9903,2014-12-11,25.128,Furniture,Furnishings
5551,2014-12-11,16.656,Office Supplies,Supplies
5550,2014-12-11,2.672,Office Supplies,Art
5553,2014-12-11,36.288,Office Supplies,Paper
9904,2014-12-11,127.984,Technology,Accessories
2413,2014-12-11,629.064,Furniture,Tables
3965,2014-12-11,7.872,Office Supplies,Art
1862,2014-12-11,49.632,Office Supplies,Storage
5552,2014-12-11,79.512,Technology,Accessories
2412,2014-12-11,11.96,Office Supplies,Paper
4853,2014-12-12,12.54,Furniture,Furnishings
3141,2014-12-12,210.392,Office Supplies,Binders
4854,2014-12-12,8.94,Office Supplies,Storage
1247,2014-12-12,254.9745,Furniture,Bookcases
4855,2014-12-12,9.24,Furniture,Furnishings
1246,2014-12-12,3610.848,Furniture,Tables
1245,2014-12-12,764.688,Furniture,Tables
2148,2014-12-12,43.31,Furniture,Furnishings
5485,2014-12-12,23.472,Office Supplies,Envelopes
8639,2014-12-13,12.39,Office Supplies,Binders
3591,2014-12-13,2.92,Office Supplies,Supplies
4225,2014-12-13,94.428,Furniture,Furnishings
6002,2014-12-13,5.214,Office Supplies,Binders
6001,2014-12-13,87.96,Furniture,Furnishings
2491,2014-12-13,90.24,Office Supplies,Paper
5703,2014-12-14,136.53,Furniture,Tables
5702,2014-12-14,2.624,Office Supplies,Art
6626,2014-12-14,6999.96,Technology,Machines
9511,2014-12-14,9.264,Office Supplies,Binders
1974,2014-12-14,35.016,Technology,Accessories
1973,2014-12-14,2.896,Office Supplies,Fasteners
5704,2014-12-14,263.96,Technology,Accessories
5105,2014-12-14,186.304,Furniture,Chairs
1972,2014-12-14,5.104,Office Supplies,Binders
1575,2014-12-15,763.28,Furniture,Chairs
5583,2014-12-15,6.16,Furniture,Furnishings
1574,2014-12-15,40.68,Technology,Phones
7483,2014-12-15,445.802,Furniture,Chairs
7006,2014-12-15,8.544,Furniture,Furnishings
2605,2014-12-16,1.167,Office Supplies,Binders
9830,2014-12-16,319.968,Technology,Accessories
9020,2014-12-16,29.46,Furniture,Furnishings
3128,2014-12-16,44.46,Furniture,Furnishings
9831,2014-12-16,8.624,Furniture,Furnishings
4712,2014-12-16,36.288,Office Supplies,Paper
6917,2014-12-16,1403.92,Furniture,Chairs
4885,2014-12-16,114.2,Office Supplies,Paper
4713,2014-12-16,56.568,Furniture,Furnishings
3769,2014-12-16,1.984,Office Supplies,Fasteners
3768,2014-12-16,1013.832,Furniture,Chairs
9019,2014-12-16,99.98,Technology,Accessories
3130,2014-12-16,395.0,Technology,Accessories
3131,2014-12-16,627.168,Technology,Phones
3129,2014-12-16,241.568,Furniture,Chairs
4419,2014-12-17,5.484,Office Supplies,Binders
1494,2014-12-17,40.05,Office Supplies,Art
1433,2014-12-19,1819.86,Furniture,Chairs
434,2014-12-19,4.812,Office Supplies,Binders
1432,2014-12-19,7.27,Office Supplies,Supplies
1431,2014-12-19,152.76,Office Supplies,Binders
8794,2014-12-19,583.8,Technology,Phones
8795,2014-12-19,211.168,Technology,Phones
8792,2014-12-19,14.62,Office Supplies,Labels
435,2014-12-19,247.8,Technology,Accessories
9521,2014-12-19,323.976,Technology,Phones
9523,2014-12-19,32.592,Office Supplies,Storage
9522,2014-12-19,15.552,Office Supplies,Paper
8793,2014-12-19,22.55,Office Supplies,Fasteners
1156,2014-12-20,62.31,Office Supplies,Binders
4689,2014-12-20,51.968,Furniture,Furnishings
1155,2014-12-20,2244.48,Furniture,Tables
4692,2014-12-20,221.92,Office Supplies,Paper
4691,2014-12-20,242.352,Furniture,Chairs
4690,2014-12-20,71.976,Technology,Accessories
3149,2014-12-20,31.05,Office Supplies,Labels
4283,2014-12-20,1103.97,Office Supplies,Binders
4282,2014-12-20,3.69,Office Supplies,Labels
1157,2014-12-20,455.1,Furniture,Tables
1154,2014-12-20,122.48,Office Supplies,Storage
4418,2014-12-20,190.848,Furniture,Furnishings
3321,2014-12-20,25.92,Office Supplies,Paper
3319,2014-12-20,43.512,Office Supplies,Appliances
3645,2014-12-20,155.12,Office Supplies,Binders
3644,2014-12-20,4.13,Office Supplies,Art
3643,2014-12-20,47.3,Office Supplies,Art
3642,2014-12-20,487.984,Office Supplies,Binders
3858,2014-12-20,447.944,Technology,Accessories
6106,2014-12-20,19.432,Office Supplies,Appliances
6107,2014-12-20,65.44,Technology,Accessories
7338,2014-12-20,192.186,Furniture,Chairs
3320,2014-12-20,662.88,Furniture,Chairs
4693,2014-12-20,8.448,Office Supplies,Paper
6242,2014-12-21,18.24,Office Supplies,Binders
5639,2014-12-21,572.16,Furniture,Chairs
5638,2014-12-21,1325.76,Furniture,Chairs
9464,2014-12-21,17.28,Office Supplies,Labels
9723,2014-12-22,296.712,Office Supplies,Binders
6528,2014-12-22,216.4,Office Supplies,Storage
6914,2014-12-22,132.16,Office Supplies,Storage
6145,2014-12-22,11.76,Office Supplies,Art
6915,2014-12-22,17.904,Office Supplies,Binders
6916,2014-12-22,124.032,Office Supplies,Paper
9380,2014-12-23,64.784,Furniture,Chairs
9381,2014-12-23,424.272,Office Supplies,Storage
7004,2014-12-23,5.184,Office Supplies,Paper
9379,2014-12-23,45.528,Office Supplies,Paper
3212,2014-12-23,207.24,Office Supplies,Appliances
9383,2014-12-23,83.92,Office Supplies,Storage
9382,2014-12-23,1.344,Office Supplies,Art
3980,2014-12-23,56.52,Office Supplies,Appliances
3979,2014-12-23,53.316,Furniture,Tables
4508,2014-12-24,23.99,Furniture,Furnishings
4506,2014-12-24,818.376,Technology,Phones
4505,2014-12-24,62.85,Technology,Accessories
1267,2014-12-24,292.272,Furniture,Chairs
4507,2014-12-24,20.34,Office Supplies,Storage
4503,2014-12-24,173.656,Technology,Phones
402,2014-12-24,9.568,Office Supplies,Paper
8948,2014-12-24,13.97,Office Supplies,Appliances
1266,2014-12-24,142.86,Office Supplies,Storage
4504,2014-12-24,361.96,Office Supplies,Appliances
668,2014-12-24,30.36,Furniture,Furnishings
4815,2014-12-26,18.264,Office Supplies,Paper
4816,2014-12-26,34.656,Office Supplies,Appliances
3292,2014-12-26,11.91,Office Supplies,Supplies
4818,2014-12-26,227.136,Office Supplies,Storage
296,2014-12-26,78.6,Office Supplies,Binders
4817,2014-12-26,81.552,Office Supplies,Appliances
295,2014-12-26,218.352,Furniture,Furnishings
293,2014-12-26,300.416,Furniture,Furnishings
297,2014-12-26,27.552,Office Supplies,Fasteners
7343,2014-12-26,191.88,Office Supplies,Storage
124,2014-12-26,600.558,Furniture,Chairs
3293,2014-12-26,3.48,Furniture,Furnishings
621,2014-12-26,8.69,Office Supplies,Binders
294,2014-12-26,230.352,Furniture,Chairs
8689,2014-12-26,8.016,Office Supplies,Art
8371,2014-12-27,4.984,Office Supplies,Binders
7778,2014-12-27,37.056,Office Supplies,Binders
7777,2014-12-27,51.45,Office Supplies,Storage
7776,2014-12-27,7.86,Office Supplies,Fasteners
9231,2014-12-27,946.764,Office Supplies,Binders
4552,2014-12-27,230.28,Furniture,Chairs
1176,2014-12-27,11.56,Office Supplies,Labels
7775,2014-12-27,10.98,Office Supplies,Appliances
4553,2014-12-27,12.84,Office Supplies,Paper
2966,2014-12-27,32.952,Furniture,Furnishings
8338,2014-12-27,498.0,Technology,Accessories
8337,2014-12-27,23.92,Office Supplies,Paper
8671,2014-12-27,118.16,Office Supplies,Storage
2967,2014-12-27,30.016,Office Supplies,Storage
8670,2014-12-27,182.352,Furniture,Furnishings
6131,2014-12-27,767.214,Furniture,Chairs
316,2014-12-28,99.136,Office Supplies,Art
6296,2014-12-28,704.25,Office Supplies,Storage
9943,2014-12-28,51.15,Office Supplies,Supplies
9942,2014-12-28,998.82,Office Supplies,Storage
6297,2014-12-28,141.76,Office Supplies,Paper
6295,2014-12-28,1737.18,Office Supplies,Appliances
7693,2014-12-29,319.968,Technology,Phones
4040,2014-12-29,14.352,Office Supplies,Binders
7203,2014-12-29,8.736,Furniture,Furnishings
5677,2014-12-29,38.976,Furniture,Furnishings
9441,2014-12-29,48.36,Office Supplies,Appliances
4320,2014-12-29,33.29,Office Supplies,Storage
757,2014-12-29,119.8,Technology,Accessories
7692,2014-12-29,88.8,Office Supplies,Labels
756,2014-12-29,24.56,Office Supplies,Storage
4042,2014-12-29,274.77,Office Supplies,Labels
4041,2014-12-29,191.976,Technology,Phones
4319,2014-12-29,23.976,Technology,Phones
4039,2014-12-29,767.952,Technology,Machines
4037,2014-12-29,24.9,Furniture,Furnishings
4043,2014-12-29,70.56,Furniture,Furnishings
4038,2014-12-29,21.12,Office Supplies,Paper
7358,2014-12-30,251.964,Technology,Phones
305,2014-12-30,9.84,Office Supplies,Art
7359,2014-12-30,523.764,Furniture,Tables
8264,2014-12-30,122.94,Office Supplies,Appliances
3308,2014-12-30,47.984,Technology,Accessories
3307,2014-12-30,2.286,Office Supplies,Binders
3305,2014-12-30,217.584,Technology,Phones
3304,2014-12-30,12.984,Office Supplies,Envelopes
8265,2014-12-30,35.448,Office Supplies,Binders
8968,2014-12-30,39.128,Office Supplies,Storage
3723,2014-12-30,551.985,Office Supplies,Binders
6059,2014-12-30,27.968,Technology,Accessories
3306,2014-12-30,328.776,Technology,Phones
7680,2014-12-31,341.96,Furniture,Bookcases
2005,2014-12-31,29.68,Office Supplies,Art
7678,2014-12-31,14.94,Office Supplies,Paper
7679,2014-12-31,1687.8,Technology,Accessories
2342,2014-12-31,113.97,Technology,Accessories
7681,2014-12-31,605.88,Furniture,Chairs
8803,2014-12-31,34.77,Technology,Accessories
8602,2014-12-31,475.944,Technology,Phones
8804,2014-12-31,18.9,Office Supplies,Labels
4558,2014-12-31,49.568,Office Supplies,Envelopes
1545,2014-12-31,1573.488,Furniture,Bookcases
2006,2014-12-31,47.53,Technology,Accessories
7677,2014-12-31,195.64,Office Supplies,Paper
2341,2014-12-31,63.2,Furniture,Furnishings
8781,2015-01-03,1227.9984,Furniture,Bookcases
8703,2015-01-03,3.552,Office Supplies,Appliances
8502,2015-01-03,184.752,Furniture,Chairs
9444,2015-01-03,95.84,Technology,Phones
8780,2015-01-03,55.328,Office Supplies,Art
3453,2015-01-03,58.72,Office Supplies,Binders
8501,2015-01-03,15.984,Technology,Phones
3993,2015-01-05,172.704,Office Supplies,Art
3991,2015-01-05,63.552,Furniture,Furnishings
1449,2015-01-05,88.752,Technology,Phones
3992,2015-01-05,41.376,Office Supplies,Supplies
6348,2015-01-05,37.32,Office Supplies,Storage
6347,2015-01-05,12.176,Office Supplies,Binders
6349,2015-01-05,35.06,Office Supplies,Supplies
9094,2015-01-06,403.68,Office Supplies,Binders
9093,2015-01-06,299.98,Technology,Phones
9095,2015-01-06,41.9,Technology,Phones
9096,2015-01-06,28.91,Office Supplies,Labels
9564,2015-01-06,11.76,Office Supplies,Paper
3968,2015-01-06,5.728,Office Supplies,Binders
3969,2015-01-06,42.24,Office Supplies,Paper
1504,2015-01-08,6.72,Office Supplies,Art
1505,2015-01-08,1004.976,Furniture,Tables
2817,2015-01-09,124.36,Furniture,Furnishings
2815,2015-01-09,114.6,Office Supplies,Binders
2816,2015-01-09,60.74,Furniture,Chairs
2818,2015-01-09,1088.76,Office Supplies,Storage
334,2015-01-09,4.752,Office Supplies,Binders
335,2015-01-09,959.984,Technology,Copiers
336,2015-01-09,14.368,Office Supplies,Binders
9034,2015-01-10,2.992,Office Supplies,Binders
6268,2015-01-10,22.45,Office Supplies,Binders
9488,2015-01-10,572.8,Technology,Phones
1443,2015-01-10,139.424,Office Supplies,Storage
6267,2015-01-10,311.98,Technology,Phones
9035,2015-01-10,108.768,Technology,Accessories
1647,2015-01-11,3.168,Office Supplies,Fasteners
2293,2015-01-11,4.95,Technology,Phones
2295,2015-01-11,13.52,Office Supplies,Paper
2296,2015-01-11,259.7,Furniture,Furnishings
2297,2015-01-11,42.95,Technology,Phones
7005,2015-01-11,205.164,Furniture,Chairs
5859,2015-01-11,301.96,Furniture,Tables
2298,2015-01-11,1399.93,Technology,Accessories
2299,2015-01-11,503.96,Technology,Phones
1646,2015-01-11,35.36,Technology,Accessories
2801,2015-01-11,7.88,Office Supplies,Art
6550,2015-01-11,327.564,Furniture,Chairs
9354,2015-01-12,19.44,Office Supplies,Paper
2714,2015-01-12,13.9,Office Supplies,Art
1460,2015-01-12,55.424,Office Supplies,Binders
6883,2015-01-12,114.2,Office Supplies,Paper
6881,2015-01-12,1913.4,Furniture,Tables
6879,2015-01-12,2003.92,Furniture,Chairs
6882,2015-01-12,146.73,Office Supplies,Storage
6880,2015-01-12,32.4,Office Supplies,Paper
3920,2015-01-12,63.96,Office Supplies,Binders
1473,2015-01-12,6.688,Furniture,Furnishings
9355,2015-01-12,3.64,Office Supplies,Art
9356,2015-01-12,18.54,Office Supplies,Paper
8892,2015-01-12,2676.672,Furniture,Chairs
3919,2015-01-12,61.68,Office Supplies,Storage
8534,2015-01-13,9.82,Office Supplies,Labels
4856,2015-01-13,70.008,Office Supplies,Binders
4857,2015-01-13,77.6,Furniture,Furnishings
4858,2015-01-13,464.85,Furniture,Furnishings
5326,2015-01-17,6.68,Office Supplies,Art
6066,2015-01-17,88.96,Office Supplies,Supplies
467,2015-01-17,254.744,Furniture,Furnishings
6625,2015-01-19,199.304,Furniture,Chairs
6624,2015-01-19,102.438,Furniture,Tables
2037,2015-01-23,14.62,Office Supplies,Labels
2036,2015-01-23,29.04,Office Supplies,Paper
7833,2015-01-24,13.12,Office Supplies,Art
8908,2015-01-26,182.72,Office Supplies,Paper
9412,2015-01-27,2803.92,Furniture,Chairs
2538,2015-01-27,155.37,Technology,Phones
2537,2015-01-27,431.976,Technology,Phones
2536,2015-01-27,181.986,Furniture,Chairs
9639,2015-01-28,4297.644,Furniture,Tables
2709,2015-01-30,1919.976,Technology,Machines
2708,2015-01-30,227.36,Furniture,Furnishings
1712,2015-01-30,14.304,Office Supplies,Paper
94,2015-01-31,32.96,Office Supplies,Binders
92,2015-01-31,12.96,Office Supplies,Paper
93,2015-01-31,53.34,Furniture,Furnishings
212,2015-02-01,23.68,Office Supplies,Labels
2486,2015-02-01,85.52,Office Supplies,Storage
215,2015-02-01,1188.0,Technology,Machines
216,2015-02-01,89.584,Technology,Accessories
2488,2015-02-01,20.04,Office Supplies,Paper
2487,2015-02-01,9.84,Office Supplies,Art
214,2015-02-01,62.982,Technology,Phones
213,2015-02-01,452.45,Furniture,Bookcases
1128,2015-02-03,101.88,Office Supplies,Envelopes
1127,2015-02-03,10.16,Office Supplies,Art
117,2015-02-03,787.53,Furniture,Tables
7710,2015-02-04,87.8,Technology,Phones
5780,2015-02-04,71.976,Technology,Machines
4045,2015-02-04,9.156,Office Supplies,Binders
2769,2015-02-04,50.12,Technology,Accessories
2770,2015-02-04,47.976,Technology,Accessories
2768,2015-02-04,32.192,Office Supplies,Appliances
4114,2015-02-05,158.376,Technology,Phones
4113,2015-02-05,8.856,Office Supplies,Labels
8849,2015-02-07,159.84,Furniture,Furnishings
8850,2015-02-07,2.892,Office Supplies,Binders
3488,2015-02-07,408.422,Furniture,Chairs
3489,2015-02-07,382.116,Furniture,Chairs
8851,2015-02-07,9.392,Office Supplies,Paper
4132,2015-02-07,15.552,Office Supplies,Paper
8848,2015-02-07,74.24,Technology,Phones
3491,2015-02-07,435.504,Office Supplies,Storage
3492,2015-02-07,11.168,Office Supplies,Paper
4131,2015-02-07,11.952,Office Supplies,Paper
5813,2015-02-07,19.44,Office Supplies,Paper
2507,2015-02-07,32.784,Office Supplies,Appliances
3490,2015-02-07,68.6,Office Supplies,Storage
4966,2015-02-08,128.85,Technology,Phones
4968,2015-02-08,199.98,Technology,Accessories
4969,2015-02-08,110.98,Furniture,Chairs
4967,2015-02-08,8.4,Office Supplies,Paper
8179,2015-02-08,277.5,Furniture,Tables
4644,2015-02-08,558.4,Technology,Machines
4643,2015-02-08,6.368,Office Supplies,Binders
6953,2015-02-10,53.568,Office Supplies,Binders
7796,2015-02-10,26.9,Office Supplies,Binders
6952,2015-02-10,11.808,Office Supplies,Binders
3220,2015-02-10,51.12,Office Supplies,Envelopes
2042,2015-02-10,57.504,Office Supplies,Binders
3219,2015-02-10,94.85,Office Supplies,Paper
6954,2015-02-10,503.96,Technology,Phones
8743,2015-02-10,53.04,Technology,Accessories
8426,2015-02-10,10.944,Office Supplies,Supplies
8189,2015-02-10,7.38,Office Supplies,Binders
8742,2015-02-10,11.032,Furniture,Furnishings
3902,2015-02-10,270.34,Office Supplies,Storage
8188,2015-02-10,19.44,Office Supplies,Paper
3221,2015-02-10,90.0,Technology,Accessories
6629,2015-02-10,7.38,Office Supplies,Binders
8165,2015-02-11,11.952,Office Supplies,Binders
8166,2015-02-11,512.499,Furniture,Bookcases
9604,2015-02-11,197.72,Office Supplies,Appliances
9056,2015-02-11,2621.322,Furniture,Chairs
9192,2015-02-11,29.372,Office Supplies,Binders
8164,2015-02-11,117.488,Office Supplies,Binders
1166,2015-02-11,447.93,Technology,Accessories
8163,2015-02-11,96.96,Furniture,Furnishings
9193,2015-02-11,344.704,Technology,Phones
282,2015-02-11,1038.84,Furniture,Tables
6005,2015-02-11,109.764,Furniture,Chairs
7684,2015-02-14,26.424,Office Supplies,Binders
4322,2015-02-14,323.982,Technology,Phones
4324,2015-02-14,14.352,Office Supplies,Art
4325,2015-02-14,71.976,Technology,Accessories
7685,2015-02-14,625.99,Technology,Phones
4321,2015-02-14,14.952,Office Supplies,Binders
4323,2015-02-14,2.286,Office Supplies,Binders
1787,2015-02-15,134.97,Technology,Phones
2247,2015-02-15,13.36,Office Supplies,Paper
2248,2015-02-15,41.72,Office Supplies,Binders
2249,2015-02-15,11.52,Office Supplies,Binders
2250,2015-02-15,541.44,Office Supplies,Appliances
1789,2015-02-15,139.95,Technology,Accessories
1788,2015-02-15,699.98,Technology,Phones
2251,2015-02-15,19.44,Office Supplies,Paper
8135,2015-02-16,87.71,Office Supplies,Labels
6743,2015-02-16,35.88,Office Supplies,Paper
8134,2015-02-16,36.84,Office Supplies,Paper
4739,2015-02-18,35.544,Furniture,Tables
4738,2015-02-18,61.06,Office Supplies,Labels
4216,2015-02-18,9.24,Office Supplies,Labels
2641,2015-02-20,29.99,Technology,Accessories
3462,2015-02-20,286.79,Office Supplies,Art
7280,2015-02-21,2541.98,Office Supplies,Binders
2734,2015-02-21,49.12,Office Supplies,Paper
3971,2015-02-22,79.36,Office Supplies,Art
8773,2015-02-23,26.88,Office Supplies,Appliances
8774,2015-02-23,10.896,Office Supplies,Binders
5769,2015-02-25,22.72,Office Supplies,Paper
5768,2015-02-25,3.15,Office Supplies,Labels
3792,2015-02-27,16.032,Office Supplies,Art
3791,2015-02-27,4.419,Office Supplies,Binders
4539,2015-02-27,105.98,Technology,Phones
4540,2015-02-27,493.92,Furniture,Tables
7462,2015-02-27,538.92,Technology,Accessories
228,2015-02-28,161.568,Furniture,Chairs
229,2015-02-28,389.696,Furniture,Chairs
5054,2015-03-01,7.056,Office Supplies,Art
3900,2015-03-01,10.368,Office Supplies,Paper
5053,2015-03-01,398.4,Technology,Accessories
